第４８回	2014年9月14日	中西 義忠	海老名 扶容	ロッシーニ／ドヴォルザーク／シューマン
『どろぼうかささぎ』序曲／アメリカ組曲／/交響曲第1番『春』
第47回	2013年9月8日	中西 義忠	海老名 扶容	ベートーヴェン	１．レオノーレ　序曲第3番２．交響曲第８番３．交響曲第５番『運命』E．トルコ行進曲
第46回	2012年9月23日	中西 義忠	海老名 扶容	ベルリオーズ、メンデルスゾーン、ブラームス	序曲「ローマの謝肉祭」/劇付随音楽「真夏の夜の夢」/「交響曲第３番」/E．ハンガリー舞曲第６番
第45回	2011年9月18日	中西 義忠	海老名 扶容	チャイコフスキー	♪スラブ行進曲♪ロココの主題による変奏曲　　チェロ独奏　渡辺美羅E．チェロ組曲第1番プレリュード（バッハ）♪交響曲第4番E．『るさと(野口剛夫編曲)
第44回	2010年12月12日	松井浩	海老名 扶容	ワーグナー、ハチャトリアン、シューマン、高野辰之	『ニュルンベルグのマイスタージンガー』序曲『仮面舞踏会』組曲交響曲第3番『ライン』『ふるさと』(野口剛夫編曲)
第43回	2009年9月27日	杉浦 伸也	海老名 扶容	ブラームス、シューベルト、ブラームス、アンコール：エルガー	大学祝典序曲キプロスの女王ロザムンデより交響曲第4番アンコール：「謎の変奏曲」より「ニムロッド」
第42回	2008年8月10日	杉浦 伸也	海老名 扶容	エドワード・エルガーエドヴァルド・グリーグジャン・シベリウス	「威風堂々」第1番　作品39-1「ペール・ギュント」組曲第1番　作品46交響曲第二番 ニ長調 作品43 
第41回	2007年7月1日	杉浦 伸也	海老名 扶容	シュトラウス、ムソルグスキー、ブラームス	こうもり序曲、禿山の一夜、交響曲第１番
第40回	2006年7月16日	秋月 修	海老名 扶容	ベートーヴェン、ブラームス、ベートーヴェン	エグモント序曲、ハイドンバリエーション、交響曲第7番
第39回	2005年7月24日	秋月 修	海老名 扶容	シューベルト、ワーグナー、ブラームス	ロザムンﾃﾞ序曲、ニュルンベルクのマイスタージンガー前奏曲交響曲第２番ニ長調
第38回	2004年6月26日	秋月 修	土屋 昭夫	シベリウス、シベリウス、ドボルザーク	『フィンランディア』組曲『カレリア』『新世界より』
第37回	2003年6月1日	秋月 修	土屋 昭夫	ベートーベン、チャイコフスキー、リスト	交響曲第１番、白鳥の湖、前奏曲
